repo,status,tier,exit_code,entry_point,event_count,duration_seconds
https://github.com/Khaledhamza77/TunedLLM,TIER2_SUCCESS,2,0,/tmp/repo/tunedLLM/graph.py,1,873
https://github.com/vedprakashnautiyal/MedAid,SUCCESS,1,0,/tmp/repo/agents/web_search_processor_agent/tavily_search.py,14,1293
https://github.com/DawoodTouseef/AI-Desktop-Automation-Assistant,PARTIAL_SUCCESS,1,1,/tmp/repo/core/agents/gmail_agent.py,23,721
https://github.com/kusumita-dasgupta/broken-langgraph-mcp,PARTIAL_SUCCESS,1,120,/tmp/repo/mcp_server.py,4,101
https://github.com/project-ryoma/ryoma,TIER2_SUCCESS,2,0,/tmp/repo/examples/example_iceberg.py,1,661
https://github.com/gianmarioiamoni/ai-decision-agent,PARTIAL_SUCCESS,1,1,/tmp/repo/scripts/test_graph.py,11,789
https://github.com/fanyty/langgraph_multi_agent_tutorial,PARTIAL_SUCCESS,1,1,/tmp/repo/run_tutorial.py,7,160
https://github.com/dubey-Ji/langgraph_learning,SUCCESS,1,0,/tmp/repo/exercise/01_exercise.py,7,114
https://github.com/datorrado/LangGraphInstrwithLlama,TIER2_SUCCESS,2,0,/tmp/repo/utils.py,1,667
https://github.com/matthewtull/LangChain_AgentEvals,PARTIAL_SUCCESS,1,1,/tmp/repo/scripts/generate_language_readmes.py,4,42
https://github.com/mmrc439/AI-Agentic-RAG-Chatbot,SUCCESS,1,0,/tmp/repo/src/pipelines/agentic.py,6,377
https://github.com/nalbarr/hello-crewai-graphs,SUCCESS,1,0,/tmp/repo/research_write_article.py,22,419
https://github.com/michael7736/dpa_gen,PARTIAL_SUCCESS,1,1,/tmp/repo/test_cognitive_api_simple.py,14,956
https://github.com/hector3echo-spec/BSL-Langgraph,PARTIAL_SUCCESS,1,1,/tmp/repo/test_runner.py,11,275
https://github.com/swarupd07/LangGraphProjects,SUCCESS,1,0,/tmp/repo/for_streamlit_web_app_P1_paper_summeriser.py,6,287
https://github.com/Rose-Bright/agentic_flow,PARTIAL_SUCCESS,1,1,/tmp/repo/test_startup.py,4,408
https://github.com/rosidotidev/SynDAI,PARTIAL_SUCCESS,1,1,/tmp/repo/main_sd_with_ref_data_crew.py,13,172
https://github.com/nguyenphucthinh20/Asachi,TIER2_SUCCESS,2,0,/tmp/repo/app/agents/orchestrator_agent/supervisor.py,1,272
https://github.com/anton-kovachev/langrgraph-advanced-ai-agent,PARTIAL_SUCCESS,1,1,/tmp/repo/main.py,5,152
https://github.com/iiiiiiiinseong/langgraph_rag_agent,TIER2_SUCCESS,2,0,/tmp/repo/src/evaluate_retrieval.py,1,627
https://github.com/Overton77/humanupgrade-app-ingestion_research,SUCCESS,1,0,/tmp/repo/main.py,11,445
